報告年度:2021,議題:溫室氣體排放,,,,,,,,,,,
公司代號,公司名稱,直接(範疇一)溫室氣體排放量-數據(公噸CO₂e),直接(範疇一)溫室氣體排放量-資料邊界,直接(範疇一)溫室氣體排放量-確信範圍,能源間接(範疇二)溫室氣體排放量-數據(公噸CO₂e),能源間接(範疇二)溫室氣體排放量-資料邊界,能源間接(範疇二)溫室氣體排放量-確信範圍,其他間接(範疇三)溫室氣體排放量-數據(公噸CO₂e),其他間接(範疇三)溫室氣體排放量-資料邊界,其他間接(範疇三)溫室氣體排放量-確信範圍,溫室氣體排放密集度-密集度(噸CO2e/單位),溫室氣體排放密集度-單位
1101,台泥,4798945,台泥台灣個體公司 (涵蓋營運集團總部、研究室、2座水泥廠、25座製品廠),ISO 14064,220392,台泥台灣個體公司 (涵蓋營運集團總部、研究室、2座水泥廠、25座製品廠),ISO 14064,29575,台泥台灣個體公司(涵蓋營運集團總部、研究室、2座水泥廠),ISO 14064,0.807,產品
1102,亞泥,2967231,亞洲水泥個體公司,ISO 14064,172203,亞洲水泥個體公司,ISO 14064,419501,亞洲水泥個體公司,ISO 14064,0.852,產品
1103,嘉泥,209.1565,合併報表之母子公司但不包含台灣地區營收佔比相較微小之資產出租公司藍鈞及嘉昇建設，及日本區，大陸區所有轉投資公司。,ISO 14064,4007.197,合併報表之母子公司但不包含台灣地區營收佔比相較微小之資產出租公司藍鈞及嘉昇建設，及日本區，大陸區所有轉投資公司。,ISO 14064,1353.9461,合併報表之母子公司但不包含台灣地區營收佔比相較微小之資產出租公司藍鈞及嘉昇建設，及日本區，大陸區所有轉投資公司。,ISO 14064,0.0027,"營業額2,042,623 (仟元)                                                                                                                                                                                  "
1104,環泥,18362,母公司之阿蓮水泥廠、海湖石膏板廠、直屬七座預拌混凝土場,,18273,母公司之阿蓮水泥廠、海湖石膏板廠、直屬七座預拌混凝土場,,無，無統計相關數據,,,0.0095,產值(新台幣千元)                                                                                                                                                                                        
1108,幸福,568272.2,幸福水泥(股)公司東澳廠,ISO 14064,39493.34,幸福水泥(股)公司東澳廠,ISO 14064,無，無統計相關數據,,,0.52,產品
1109,信大,574039.8381,僅信大母公司南聖湖工廠,ISO 14064,43746.288,僅信大母公司南聖湖工廠,ISO 14064,無，無統計相關數據,,,無，無統計相關數據,
1110,東泥,2738,工廠,,20881,工廠,,無，無統計相關數據,,,0.034,產品
1201,味全,11135.17,"1.母公司(含總公司、中央研究所、營業所、台中廠、斗六廠、高雄廠)。 2.直接擁有或控制的排放源所直接排放的溫室氣體  含2-1營業所/工廠購汽油柴油鍋爐天然氣等排放及辦公室人員活動之化糞池清除作業散逸排放。  含2-2工廠購原料之製麴、發酵雙醣等於製程中排放。",,21106.03,"1.母公司(含總公司、中央研究所、營業所、台中廠、斗六廠、高雄廠)。 2.外購電力產生溫室氣體排放。",,"無，1.價值鏈上發生的所有間接排放，包括上游和下游的排放而在範疇2中並未包括。 2.母公司未盤查範疇(三)上游運輸/通勤商旅/下游運輸等間接溫室氣體排放。 3.預定112年起聘請顧問公司輔導盤查及認證。",,,0.22,產品
1203,味王,7168.948,母公司,,4233.841,母公司,,無，無統計相關數據,,,5.132,營業額
1210,大成,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,,,無，無統計相關數據,
1213,大飲,693.73,僅母公司,,無，NA,,,無，NA,,,無，NA,
1215,卜蜂,45272,南投肉食品加工廠、台中飼料廠、高雄飼料廠,,39870,南投肉食品加工廠、台中飼料廠、高雄飼料廠,,無，無統計相關數據,,,7,南投肉食品加工廠:7.0噸CO2e/百萬營收 ; 飼料廠:0.0267噸CO2e/產量(噸)                                                                                                                                      
1216,統一,58384,僅母公司,ISO 14064,96160,僅母公司,ISO 14064,1391235,僅母公司,ISO 14064,36.25,營業收入千萬元                                                                                                                                                                                          
1217,愛之味,1540,母公司之天然氣與燃料油,,5799,母公司之外購電力、外購蒸氣、自來水,,無，無統計相關數據,,,1.03,產品
